Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure,Eye
13664L.lvm,1.42662,2.275037,5.28463,0.27612,0.14573,0,0,0,0,0,PRE,L
13664R.lvm,1.40073375,2.31824662,5.2520325,0.27516125,0.11217375,0.0004962,0.00052007,0.00044382,0.00033897,0.0004962,PRE,R
13665L.lvm,1.33458,2.45055517,5.28590833,0.24671833,0.22115167,0,0.00054698,0.00096229,0.00052188,0.00052188,PRE,L
13665R.lvm,1.38827,2.35408717,5.37411333,0.241605,0.10098833,0,0.00054698,0.00066013,0.00070017,0.00052188,PRE,R
13666L.lvm,1.44963,2.22177862,5.13794125,0.26078,0.1668225,0.00051247,0.00052007,0.00061443,0.00051247,0.00044382,PRE,L
13666R.lvm,1.48116222,2.20000633,5.18065889,0.25140556,0.23521333,0.00051212,0.0006316,0.00061913,0.00037579,0.00042611,PRE,R
13667L.lvm,1.46752667,2.234842,5.265455,0.24544,0.18408,0.00066013,0,0.00070017,0,0,PRE,L
13667R.lvm,1.42534167,2.28575567,5.25267167,0.27356333,0.180245,0.00052188,0.00069189,0.00052188,0.00066013,0.00070017,PRE,R
13668L.lvm,1.379066,2.2637824,4.999306,0.236236,0.158002,0.00068603,0.00088063,0.00068603,0.00068603,0.00084021,PRE,L
13668R.lvm,1.30262167,2.3996415,5.01618,0.249275,0.16618333,0.00052188,0.00073386,0.00080849,0.00070017,0.00066013,PRE,R
13669L.lvm,1.43940333,2.2870955,5.11844667,0.23777,0.164905,0.00066013,0.00073386,0.00066013,0,0.00070017,PRE,L
13669R.lvm,1.42662,2.35096089,5.06816556,0.24288333,0.18152333,0.00042611,0.00047077,0.00037579,0.00042611,0.00042611,PRE,R
13670L.lvm,1.461135,2.25594438,5.12260125,0.25311,0.17161625,0.00051247,0.00052007,0.00033897,0,0.0004962,PRE,L
13670R.lvm,1.36781667,2.379544,5.08606222,0.24288333,0.14999111,0.00060261,0.0006316,0.00028407,0.00042611,0.00061913,PRE,R
13664L.lvm,1.514058,2.516207,5.72182,0.250042,0.12272,0.00084021,0,0,0.00084021,0,POST,L
13664R.lvm,1.60047333,2.419739,5.71415,0.26717167,0.16234833,0.00066013,0.00084739,0.00080849,0.00052188,0.00052188,POST,R
13665L.lvm,1.4975675,2.564441,5.8502925,0.23777,0.09971,0.00044382,0.00053713,0.00044382,0,0,POST,L
13665R.lvm,1.52505167,2.5202265,5.85860167,0.249275,0.11505,0.00052188,0.00073386,0.00052188,0.00070017,0,POST,R
13666L.lvm,1.56029714,2.4117,5.65607714,0.24653571,0.13915571,0.00058568,0.00066305,0.00058568,0.00041414,0.00041414,POST,L
13666R.lvm,1.578486,2.4229546,5.626712,0.27612,0.139594,0.00068603,0.00088063,0.00084021,0,0.00068603,POST,R
13667L.lvm,1.48031,2.56310117,5.65918167,0.23137833,0.13166833,0.00080849,0.00054698,0.00052188,0.00052188,0.00052188,POST,L
13667R.lvm,1.515592,2.5097758,5.640518,0.271518,0.162604,0.00084021,0.00071903,0.00084021,0.00084021,0.00068603,POST,R
13668L.lvm,1.40648625,2.55137762,5.4322775,0.241605,0.14477125,0.00071333,0.00074765,0.00044382,0.00051247,0.00033897,POST,L
13668R.lvm,1.51354667,2.47065267,5.39541889,0.27441556,0.15766111,0.00060261,0.0006316,0.00061913,0.00037579,0.00044916,POST,R
13669L.lvm,1.5474225,2.5282655,5.464875,0.241605,0.13326625,0.00044382,0.00075961,0.00051247,0.00051247,0.0004962,POST,L
13669R.lvm,1.57362833,2.48137133,5.49427667,0.25183167,0.12272,0.00052188,0.00069189,0.00066013,0.00052188,0,POST,R
13670L.lvm,1.55701,2.47467217,5.55052333,0.25311,0.16107,0,0.00054698,0.00066013,0,0,POST,L
13670R.lvm,1.43333125,2.64382612,5.49076125,0.2301,0.13039,0.00033897,0.00064399,0.00033897,0,0,POST,R