Sample,time,concentration,treatment,collection_date
7AMB01,7:00,2.422212339,blue,08/10&18/23
7AMB02,7:00,4.571551777,blue,08/10&18/23
7AMB03,7:00,4.412232024,blue,08/10&18/23
7AMB04,7:00,2.891948052,blue,08/10&18/23
7AMB05,7:00,3.203539823,blue,08/10&18/23
7AMB06,7:00,3.46927458,blue,08/10&18/23
7AMB07,7:00,5.677355857,blue,08/10&18/23
7AMB08,7:00,4.985808448,blue,08/10&18/23
7AMB09,7:00,3.462352838,blue,08/10&18/23
7AMB10,7:00,5.276781249,blue,08/10&18/23
7AMB11,7:00,1.713503499,blue,08/10&18/23
7AMB12,7:00,3.337332772,blue,08/10&18/23
7AMB13,7:00,2.277910686,blue,08/10&18/23
7AMB14,7:00,3.80360134,blue,08/10&18/23
7AMB15,7:00,5.585656641,blue,08/10&18/23
7AMB16,7:00,3.38031413,blue,08/10&18/23
7AMW01,7:00,61.8427692,white,7/19/22
7AMW02,7:00,41.25017042,white,7/19/22
7AMW03,7:00,44.54332226,white,7/19/22
7AMW04,7:00,16.66090147,white,7/19/22
7AMW05,7:00,25.62137931,white,7/19/22
7AMW06,7:00,14.4274741,white,7/19/22
7AMW07,7:00,35.40215613,white,7/19/22
7AMW08,7:00,35.95741472,white,7/19/22
7AMW09,7:00,16.42014825,white,7/19/22
7AMW10,7:00,16.6084658,white,7/19/22
7AMW11,7:00,15.18234526,white,7/19/22
7AMW12,7:00,36.04951049,white,7/19/22
2PMB01,14:00,9.925833325,blue,2/10/23
2PMB02,14:00,10.76741677,blue,2/10/23
2PMB03,14:00,8.410286288,blue,2/10/23
2PMB04,14:00,9.075509618,blue,2/10/23
2PMB05,14:00,9.003574662,blue,2/10/23
2PMB06,14:00,7.237026648,blue,2/10/23
2PMB07,14:00,17.78644681,blue,2/10/23
2PMB08,14:00,10.82637164,blue,2/10/23
2PMB09,14:00,9.338417032,blue,2/10/23
2PMB10,14:00,7.390180879,blue,2/10/23
2PMB11,14:00,7.188758759,blue,2/10/23
2PMB12,14:00,4.048437187,blue,2/10/23
2PMB13,14:00,4.188549444,blue,2/10/23
2PMB14,14:00,8.489335527,blue,2/10/23
2PMW01,14:00,12.20382582,white,10/2/23
2PMW02,14:00,13.9898785,white,10/2/23
2PMW03,14:00,10.91119854,white,10/2/23
2PMW04,14:00,11.71943995,white,10/2/23
2PMW05,14:00,11.51920414,white,10/2/23
2PMW06,14:00,9.2743948,white,10/2/23
2PMW07,14:00,21.4197636,white,10/2/23
2PMW08,14:00,13.88740802,white,10/2/23
2PMW09,14:00,11.91966739,white,10/2/23
2PMW10,14:00,9.5066485,white,10/2/23
2PMW11,14:00,9.2074345,white,10/2/23
2PMW12,14:00,4.795188321,white,10/2/23
2PMW13,14:00,5.402057633,white,10/2/23
2PMW14,14:00,10.87644814,white,10/2/23
7PMB01,19:00,4.714036661,blue,08/09&17/23
7PMB02,19:00,2.344505649,blue,08/09&17/23
7PMB03,19:00,1.768117505,blue,08/09&17/23
7PMB04,19:00,2.388612034,blue,08/09&17/23
7PMB05,19:00,2.40368403,blue,08/09&17/23
7PMB06,19:00,2.818584071,blue,08/09&17/23
7PMB07,19:00,1.656286263,blue,08/09&17/23
7PMB08,19:00,1.365962554,blue,08/09&17/23
7PMB09,19:00,1.016831511,blue,08/09&17/23
7PMB10,19:00,1.543035737,blue,08/09&17/23
7PMB11,19:00,0.78536039,blue,08/09&17/23
7PMB12,19:00,0.996997688,blue,08/09&17/23
7PMB13,19:00,0.682771988,blue,08/09&17/23
7PMB14,19:00,0.98278842,blue,08/09&17/23
7PMB15,19:00,0.804160559,blue,08/09&17/23
7PMB16,19:00,0.558962882,blue,08/09&17/23
7PMW01,19:00,14.27388763,white,7/19/22
7PMW02,19:00,9.77368946,white,7/19/22
7PMW03,19:00,3.248446936,white,7/19/22
7PMW04,19:00,6.463912057,white,7/19/22
7PMW05,19:00,7.090655002,white,7/19/22
7PMW06,19:00,20.98130054,white,7/19/22
7PMW07,19:00,18.77396364,white,7/19/22
7PMW08,19:00,10.55963716,white,7/19/22
7PMW09,19:00,7.269953586,white,7/19/22
7PMW10,19:00,20.2532327,white,7/19/22
7PMW11,19:00,8.663464624,white,7/19/22
7PMW12,19:00,15.50985856,white,7/19/22
11PMW01,23:00,10.3478006,white,10/2/22
11PMW02,23:00,11.446932,white,10/2/22
11PMW03,23:00,10.43609224,white,10/2/22
11PMW04,23:00,9.528232091,white,10/2/22
11PMW05,23:00,9.26131293,white,10/2/22
11PMW06,23:00,17.13502213,white,10/2/22
11PMW07,23:00,22.81353537,white,10/2/22
11PMW08,23:00,22.67654643,white,10/2/22
11PMW09,23:00,10.52391311,white,10/2/22
11PMW10,23:00,12.01454695,white,10/2/22
11PMW11,23:00,23.41897202,white,10/2/22
11PMW12,23:00,21.33910398,white,10/2/22
11PMW13,23:00,23.07527855,white,10/2/22
11PMW14,23:00,16.98487526,white,10/2/22
11PMB01,23:00,8.167237315,blue,2/10/23
11PMB02,23:00,8.91729941,blue,2/10/23
11PMB03,23:00,7.997666463,blue,2/10/23
11PMB04,23:00,7.428037079,blue,2/10/23
11PMB05,23:00,7.10322047,blue,2/10/23
11PMB06,23:00,13.4002128,blue,2/10/23
11PMB07,23:00,18.17558111,blue,2/10/23
11PMB08,23:00,18.13977618,blue,2/10/23
11PMB09,23:00,8.062494019,blue,2/10/23
11PMB10,23:00,9.339266315,blue,2/10/23
11PMB11,23:00,18.19555944,blue,2/10/23
11PMB12,23:00,16.54096294,blue,2/10/23
11PMB13,23:00,18.60084679,blue,2/10/23
11PMB14,23:00,13.20400186,blue,2/10/23